humidity;mq5;mq7;temperature;alert;suspected_gas
64.5;172;0;21.0;0;Aucun
64.5;172;149;21.0;0;Aucun
64.5999984741211;172;278;21.0;0;Aucun
64.5;172;13;21.0;0;Aucun
64.5;172;7;21.0;0;Aucun
64.4000015258789;171;481;21.0;1;CO
64.4000015258789;171;327;21.0;1;CO
64.4000015258789;171;334;21.100000381469727;1;CO
64.5999984741211;171;215;21.100000381469727;0;Aucun
64.9000015258789;170;449;21.0;1;CO
65.0;170;23;21.100000381469727;0;Aucun
65.0;170;0;21.100000381469727;0;Aucun
65.0;169;124;21.100000381469727;0;Aucun
65.0999984741211;169;250;21.100000381469727;0;Aucun
65.0;169;485;21.100000381469727;1;CO
64.9000015258789;169;484;21.100000381469727;1;CO
64.9000015258789;169;170;21.100000381469727;0;Aucun
64.5999984741211;169;13;21.100000381469727;0;Aucun
65.0;168;146;21.200000762939453;0;Aucun
65.30000305175781;166;50;21.200000762939453;0;Aucun
65.30000305175781;161;492;21.200000762939453;1;CO
65.0999984741211;157;192;21.200000762939453;0;Aucun
65.0999984741211;164;337;21.200000762939453;1;CO
65.0;281;481;21.200000762939453;1;CO
65.0999984741211;284;508;21.200000762939453;1;CO
65.30000305175781;0;0;21.200000762939453;0;Aucun
68.9000015258789;0;16;21.299999237060547;0;Aucun
69.0999984741211;407;240;21.299999237060547;0;Aucun
69.19999694824219;0;61;21.299999237060547;0;Aucun
68.80000305175781;152;50;21.299999237060547;0;Aucun
68.5;0;164;21.299999237060547;0;Aucun
68.30000305175781;213;162;21.299999237060547;0;Aucun
67.80000305175781;56;136;21.299999237060547;0;Aucun
67.5;476;170;21.299999237060547;0;Aucun
67.0;317;165;21.299999237060547;0;Aucun
66.5999984741211;0;164;21.299999237060547;0;Aucun
66.19999694824219;43;163;21.399999618530277;0;Aucun
65.80000305175781;168;167;21.299999237060547;0;Aucun
65.30000305175781;469;166;21.399999618530277;0;Aucun
65.0;0;166;21.399999618530277;0;Aucun
64.80000305175781;362;130;21.700000762939453;0;Aucun
64.19999694824219;450;133;21.700000762939453;0;Aucun
63.79999923706055;72;133;21.700000762939453;0;Aucun
63.59999847412109;296;132;21.700000762939453;0;Aucun
63.29999923706055;27;137;21.700000762939453;0;Aucun
63.20000076293945;236;137;21.700000762939453;0;Aucun
63.29999923706055;209;137;21.700000762939453;0;Aucun
63.29999923706055;358;134;21.700000762939453;0;Aucun
63.09999847412109;119;299;21.700000762939453;0;Aucun
62.79999923706055;67;347;21.700000762939453;1;CO
62.79999923706055;39;388;21.700000762939453;1;CO
62.59999847412109;423;401;21.700000762939453;1;CO
62.5;1;411;21.700000762939453;1;CO
62.59999847412109;459;417;21.799999237060547;1;CO
62.5;272;416;21.700000762939453;1;CO
62.5;314;387;21.700000762939453;1;CO
62.400001525878906;0;354;21.700000762939453;1;CO
62.29999923706055;371;319;21.700000762939453;1;CO
62.20000076293945;241;282;21.700000762939453;0;Aucun
62.20000076293945;87;242;21.700000762939453;0;Aucun
62.20000076293945;460;225;21.700000762939453;0;Aucun
62.09999847412109;452;221;21.600000381469727;0;Aucun
62.09999847412109;326;216;21.700000762939453;0;Aucun
62.20000076293945;261;213;21.700000762939453;0;Aucun
62.09999847412109;295;209;21.700000762939453;0;Aucun
66.0999984741211;442;123;19.799999237060547;0;Aucun
65.80000305175781;0;123;19.899999618530277;0;Aucun
66.0;365;123;19.899999618530277;0;Aucun
66.0;445;123;19.799999237060547;0;Aucun
66.0;0;123;19.899999618530277;0;Aucun
66.0999984741211;0;122;19.799999237060547;0;Aucun
65.69999694824219;63;119;19.899999618530277;0;Aucun
65.5999984741211;263;119;19.899999618530277;0;Aucun
65.5999984741211;0;119;19.899999618530277;0;Aucun
65.69999694824219;476;120;19.899999618530277;0;Aucun
65.5999984741211;407;164;19.899999618530277;0;Aucun
65.69999694824219;0;143;19.899999618530277;0;Aucun
65.80000305175781;418;138;19.899999618530277;0;Aucun
65.5999984741211;469;137;19.899999618530277;0;Aucun
65.9000015258789;1;174;19.899999618530277;0;Aucun
66.0999984741211;291;133;19.899999618530277;0;Aucun
66.19999694824219;170;134;19.899999618530277;0;Aucun
66.19999694824219;0;135;19.899999618530277;0;Aucun
66.0999984741211;0;134;19.899999618530277;0;Aucun
66.0999984741211;476;135;19.899999618530277;0;Aucun
66.0999984741211;286;135;19.899999618530277;0;Aucun
66.0999984741211;0;134;19.899999618530277;0;Aucun
66.0;0;133;19.899999618530277;0;Aucun
66.0;225;133;19.899999618530277;0;Aucun
65.9000015258789;104;135;19.899999618530277;0;Aucun
65.69999694824219;0;135;19.899999618530277;0;Aucun
65.80000305175781;445;135;19.899999618530277;0;Aucun
65.69999694824219;0;136;19.899999618530277;0;Aucun
65.69999694824219;0;109;19.899999618530277;0;Aucun
65.5999984741211;388;109;19.899999618530277;0;Aucun
65.5999984741211;99;134;20.0;0;Aucun
65.69999694824219;415;131;19.899999618530277;0;Aucun
65.5;0;131;19.899999618530277;0;Aucun
65.5999984741211;449;129;20.0;0;Aucun
65.5999984741211;16;129;20.0;0;Aucun
65.5999984741211;0;127;20.0;0;Aucun
65.5999984741211;0;127;20.0;0;Aucun
65.69999694824219;0;127;20.0;0;Aucun
65.5999984741211;32;130;20.0;0;Aucun
66.0;252;128;19.899999618530277;0;Aucun
65.80000305175781;0;126;19.899999618530277;0;Aucun
65.9000015258789;0;126;20.0;0;Aucun
65.80000305175781;88;125;20.0;0;Aucun
65.69999694824219;462;126;20.0;0;Aucun
65.69999694824219;392;125;20.0;0;Aucun
65.9000015258789;462;123;20.0;0;Aucun
65.80000305175781;7;124;20.0;0;Aucun
65.5999984741211;469;122;20.0;0;Aucun
65.5999984741211;423;123;20.0;0;Aucun
65.69999694824219;39;123;20.0;0;Aucun
65.5999984741211;0;123;20.0;0;Aucun
62.59999847412109;285;126;21.0;0;Aucun
62.59999847412109;132;130;21.0;0;Aucun
62.400001525878906;461;130;21.0;0;Aucun
62.400001525878906;0;130;21.0;0;Aucun
62.29999923706055;0;130;21.0;0;Aucun
62.20000076293945;24;130;21.0;0;Aucun
62.29999923706055;194;129;20.899999618530277;0;Aucun
62.29999923706055;451;129;21.0;0;Aucun
62.29999923706055;106;129;21.0;0;Aucun
62.20000076293945;463;129;21.0;0;Aucun
62.20000076293945;0;129;20.899999618530277;0;Aucun
62.29999923706055;463;129;20.899999618530277;0;Aucun
62.29999923706055;238;129;20.899999618530277;0;Aucun
62.20000076293945;432;129;20.899999618530277;0;Aucun
62.29999923706055;459;129;20.899999618530277;0;Aucun
62.29999923706055;207;129;20.899999618530277;0;Aucun
62.09999847412109;124;129;20.899999618530277;0;Aucun
62.09999847412109;373;129;20.899999618530277;0;Aucun
62.09999847412109;461;129;20.899999618530277;0;Aucun
62.20000076293945;223;129;20.899999618530277;0;Aucun
62.20000076293945;0;129;20.799999237060547;0;Aucun
62.09999847412109;0;129;20.899999618530277;0;Aucun
62.20000076293945;0;129;20.899999618530277;0;Aucun
62.29999923706055;462;128;20.799999237060547;0;Aucun
62.20000076293945;0;128;20.799999237060547;0;Aucun
62.09999847412109;461;128;20.899999618530277;0;Aucun
62.20000076293945;459;128;20.899999618530277;0;Aucun
62.20000076293945;455;128;20.799999237060547;0;Aucun
62.09999847412109;459;128;20.799999237060547;0;Aucun
62.29999923706055;459;128;20.799999237060547;0;Aucun
62.20000076293945;0;128;20.899999618530277;0;Aucun
62.20000076293945;369;128;20.799999237060547;0;Aucun
62.29999923706055;53;129;20.799999237060547;0;Aucun
62.20000076293945;0;129;20.799999237060547;0;Aucun
62.29999923706055;307;129;20.799999237060547;0;Aucun
62.400001525878906;109;128;20.799999237060547;0;Aucun
62.29999923706055;0;128;20.700000762939453;0;Aucun
62.400001525878906;459;128;20.799999237060547;0;Aucun
62.400001525878906;0;128;20.799999237060547;0;Aucun
62.400001525878906;461;128;20.799999237060547;0;Aucun
62.400001525878906;296;128;20.799999237060547;0;Aucun
62.59999847412109;452;128;20.799999237060547;0;Aucun
62.400001525878906;370;128;20.799999237060547;0;Aucun
62.5;240;128;20.799999237060547;0;Aucun
62.5;0;128;20.700000762939453;0;Aucun
62.400001525878906;376;127;20.700000762939453;0;Aucun
62.400001525878906;0;127;20.799999237060547;0;Aucun
62.400001525878906;16;127;20.700000762939453;0;Aucun
62.400001525878906;455;127;20.700000762939453;0;Aucun
62.5;455;127;20.700000762939453;0;Aucun
62.59999847412109;456;127;20.700000762939453;0;Aucun
62.59999847412109;447;127;20.700000762939453;0;Aucun
