Timestamp;humidity;mq5;mq7;temperature
#NOM?;64.5;172;0;21
#NOM?;64.5;172;149;21
#NOM?;64.5999984741211;172;278;21
#NOM?;64.5;172;13;21
#NOM?;64.5;172;7;21
#NOM?;64.4000015258789;171;481;21
#NOM?;64.4000015258789;171;327;21
#NOM?;64.4000015258789;171;334;21.100000381469727
#NOM?;64.5999984741211;171;215;21.100000381469727
#NOM?;64.9000015258789;170;449;21
#NOM?;65;170;23;21.100000381469727
#NOM?;65;170;0;21.100000381469727
#NOM?;65;169;124;21.100000381469727
#NOM?;65.0999984741211;169;250;21.100000381469727
#NOM?;65;169;485;21.100000381469727
#NOM?;64.9000015258789;169;484;21.100000381469727
#NOM?;64.9000015258789;169;170;21.100000381469727
#NOM?;64.5999984741211;169;13;21.100000381469727
#NOM?;65;168;146;21.200000762939453
#NOM?;65.30000305175781;166;50;21.200000762939453
#NOM?;65.30000305175781;161;492;21.200000762939453
#NOM?;65.0999984741211;157;192;21.200000762939453
-OKQLCop-8RREiC5qRIy;65.0999984741211;164;337;21.200000762939453
#NOM?;65;281;481;21.200000762939453
-OKQLDfUH1eWhbG-pGG-;65.0999984741211;284;508;21.200000762939453
#NOM?;65.30000305175781;0;0;21.200000762939453
#NOM?;68.9000015258789;0;16;21.299999237060547
#NOM?;69.0999984741211;407;240;21.299999237060547
#NOM?;69.19999694824219;0;61;21.299999237060547
#NOM?;68.80000305175781;152;50;21.299999237060547
#NOM?;68.5;0;164;21.299999237060547
#NOM?;68.30000305175781;213;162;21.299999237060547
#NOM?;67.80000305175781;56;136;21.299999237060547
#NOM?;67.5;476;170;21.299999237060547
#NOM?;67;317;165;21.299999237060547
#NOM?;66.5999984741211;0;164;21.299999237060547
#NOM?;66.19999694824219;43;163;21.399999618530273
#NOM?;65.80000305175781;168;167;21.299999237060547
#NOM?;65.30000305175781;469;166;21.399999618530273
#NOM?;65;0;166;21.399999618530273
#NOM?;64.80000305175781;362;130;21.700000762939453
#NOM?;64.19999694824219;450;133;21.700000762939453
#NOM?;63.79999923706055;72;133;21.700000762939453
#NOM?;63.599998474121094;296;132;21.700000762939453
#NOM?;63.29999923706055;27;137;21.700000762939453
#NOM?;63.20000076293945;236;137;21.700000762939453
#NOM?;63.29999923706055;209;137;21.700000762939453
#NOM?;63.29999923706055;358;134;21.700000762939453
#NOM?;63.099998474121094;119;299;21.700000762939453
#NOM?;62.79999923706055;67;347;21.700000762939453
#NOM?;62.79999923706055;39;388;21.700000762939453
#NOM?;62.599998474121094;423;401;21.700000762939453
#NOM?;62.5;1;411;21.700000762939453
#NOM?;62.599998474121094;459;417;21.799999237060547
#NOM?;62.5;272;416;21.700000762939453
#NOM?;62.5;314;387;21.700000762939453
#NOM?;62.400001525878906;0;354;21.700000762939453
#NOM?;62.29999923706055;371;319;21.700000762939453
#NOM?;62.20000076293945;241;282;21.700000762939453
#NOM?;62.20000076293945;87;242;21.700000762939453
#NOM?;62.20000076293945;460;225;21.700000762939453
#NOM?;62.099998474121094;452;221;21.600000381469727
#NOM?;62.099998474121094;326;216;21.700000762939453
#NOM?;62.20000076293945;261;213;21.700000762939453
#NOM?;62.099998474121094;295;209;21.700000762939453
#NOM?;66.0999984741211;442;123;19.799999237060547
-OKQoHa6tEbx9WGIN-1V;65.80000305175781;0;123;19.899999618530273
#NOM?;66;365;123;19.899999618530273
#NOM?;66;445;123;19.799999237060547
#NOM?;66;0;123;19.899999618530273
#NOM?;66.0999984741211;0;122;19.799999237060547
#NOM?;65.69999694824219;63;119;19.899999618530273
#NOM?;65.5999984741211;263;119;19.899999618530273
#NOM?;65.5999984741211;0;119;19.899999618530273
#NOM?;65.69999694824219;476;120;19.899999618530273
#NOM?;65.5999984741211;407;164;19.899999618530273
#NOM?;65.69999694824219;0;143;19.899999618530273
#NOM?;65.80000305175781;418;138;19.899999618530273
#NOM?;65.5999984741211;469;137;19.899999618530273
#NOM?;65.9000015258789;1;174;19.899999618530273
#NOM?;66.0999984741211;291;133;19.899999618530273
#NOM?;66.19999694824219;170;134;19.899999618530273
#NOM?;66.19999694824219;0;135;19.899999618530273
#NOM?;66.0999984741211;0;134;19.899999618530273
#NOM?;66.0999984741211;476;135;19.899999618530273
#NOM?;66.0999984741211;286;135;19.899999618530273
#NOM?;66.0999984741211;0;134;19.899999618530273
#NOM?;66;0;133;19.899999618530273
#NOM?;66;225;133;19.899999618530273
#NOM?;65.9000015258789;104;135;19.899999618530273
#NOM?;65.69999694824219;0;135;19.899999618530273
#NOM?;65.80000305175781;445;135;19.899999618530273
#NOM?;65.69999694824219;0;136;19.899999618530273
#NOM?;65.69999694824219;0;109;19.899999618530273
#NOM?;65.5999984741211;388;109;19.899999618530273
#NOM?;65.5999984741211;99;134;20
#NOM?;65.69999694824219;415;131;19.899999618530273
#NOM?;65.5;0;131;19.899999618530273
#NOM?;65.5999984741211;449;129;20
#NOM?;65.5999984741211;16;129;20
#NOM?;65.5999984741211;0;127;20
#NOM?;65.5999984741211;0;127;20
#NOM?;65.69999694824219;0;127;20
-OKQooYYJkIyH9Spm6W-;65.5999984741211;32;130;20
#NOM?;66;252;128;19.899999618530273
#NOM?;65.80000305175781;0;126;19.899999618530273
#NOM?;65.9000015258789;0;126;20
#NOM?;65.80000305175781;88;125;20
#NOM?;65.69999694824219;462;126;20
#NOM?;65.69999694824219;392;125;20
#NOM?;65.9000015258789;462;123;20
#NOM?;65.80000305175781;7;124;20
#NOM?;65.5999984741211;469;122;20
#NOM?;65.5999984741211;423;123;20
#NOM?;65.69999694824219;39;123;20
#NOM?;65.5999984741211;0;123;20
#NOM?;62.599998474121094;285;126;21
#NOM?;62.599998474121094;132;130;21
#NOM?;62.400001525878906;461;130;21
#NOM?;62.400001525878906;0;130;21
#NOM?;62.29999923706055;0;130;21
#NOM?;62.20000076293945;24;130;21
#NOM?;62.29999923706055;194;129;20.899999618530273
#NOM?;62.29999923706055;451;129;21
#NOM?;62.29999923706055;106;129;21
#NOM?;62.20000076293945;463;129;21
#NOM?;62.20000076293945;0;129;20.899999618530273
#NOM?;62.29999923706055;463;129;20.899999618530273
#NOM?;62.29999923706055;238;129;20.899999618530273
#NOM?;62.20000076293945;432;129;20.899999618530273
#NOM?;62.29999923706055;459;129;20.899999618530273
#NOM?;62.29999923706055;207;129;20.899999618530273
#NOM?;62.099998474121094;124;129;20.899999618530273
#NOM?;62.099998474121094;373;129;20.899999618530273
#NOM?;62.099998474121094;461;129;20.899999618530273
#NOM?;62.20000076293945;223;129;20.899999618530273
#NOM?;62.20000076293945;0;129;20.799999237060547
